comment,pos
台风海神带来大暴雨吉林延边部分群众连夜转移,1
"如今荒芜的火星也曾洪水滔天,说明一个真相",1
埃及发生里氏5.2级地震暂无人员伤亡记录,3
"2020年8月8日星期六,美国爱达荷州斯坦利西南13公里处发生3.0级小地震",3
北京多区突降冰雹局地将有较强降雨,1
"永州暴雨致5人失联,网友热议:这几天南方很多地方都在下暴雨",2
大风和大雨袭击了美国弗吉尼亚州造成多人断电,0
"雷雨大风冰雹,又来山东发布重要天气预报媒体澎湃新闻ThePaper",4
"由于降雨和融雪,不列颠哥伦比亚省部分地区的洪水风险上升,其他地区的洪水风险下降",1
"3.1级轻微地震2020年8月16日星期日,菲律宾大方索省长(达沃东方)(菲律宾)东经61东经051公里",3
暴雨造成凤凰县境内28公里干线公路水毁公路全力保畅通,2
"夏至已过,夏炙继续端午又来雷雨,局地暴雨",2
浙江:提升暴雨应急响应至三级应对新一轮强降水,2
浙江人注意暴雨今夜来袭南方将迎今年最大规模强降雨,2
"贵州人,暴雨大暴雨特大暴雨今晚来袭未来几天还有媒体澎湃新闻ThePaper",2
夏天的暴脾气河南这些地方可能出现冰雹、短时强降雨,4
"2020年7月28日,星期二,波多黎各瓜亚尼拉东南3公里处发生3.2级小地震",3
周末狂风暴雨将给犹他州带来雨雪和大风,0
四川凉山冕宁暴雨引发洪水108国道、灵山景区道路中断,1
"3.1级小地震2020年7月25日星期六,内华达州(美国)米纳市东南30公里处",3
"最新天气预报盖州:12日夜间到13日有中雨,局部大到暴雨",1
"冰雹造成雪景,严重雷暴袭击新南威尔士州和昆士兰州",4
旺娜率队到卧龙特区调研指导山洪泥石流灾害抢险救灾工作,1
"轻磁4.6级地震马里亚纳群岛地区(北马里亚纳群岛),2020年7月17日,星期五",3
强降雨雷暴大风冰雹马上就到铜川人请注意,4
"轻磁4.0级地震2020年7月10日,星期五,OAX(墨西哥)29公里的北伊达尔戈",3
罗城遭遇新一轮暴雨袭击山洪暴发河水猛涨(图)广西新闻图集,2
"4县区15万余人受灾,3万余亩农作物绝收,天水遭遇最强冰雹灾害,全市紧急动员抗灾救灾",4
"美国龙卷风致数人死亡,约300所房屋被毁,冰雹有棒球那么大",4
"未来两小时,黑龙江这些地方将出现雷雨大风天气局地伴有冰雹",4
"明起河北将迎中到大雨,局地伴有冰雹、大风中国唐山环渤海新闻网",4
广东确认敲响全新警钟广东下列区域暴雨大暴雨来袭,2
印尼北苏拉威西发生6.9级地震,3
战暴雨斗冰雹四平交警全力守护群众生命财产安全政务澎湃新闻ThePaper,4
长江2020年第1号洪水形成省水利厅调度沿江涵闸全力排水,1
广西钦州突降暴雨致村民被困消防紧急救援,2
气旋尾端乌埃西给新西兰带来暴雨、大风,0
大风可以在雨雪中刮,0
"洪水:卡诺54人死亡,30356间房屋被毁",1
地震发生后幼儿园老师带176名孩子17秒撤离,3
四川盆地强降水持续华北和东北地区多阵雨或雷阵雨,1
"2.9级小地震2020年8月9日星期日,多洛雷斯(东萨马)(菲律宾)东经70东经041公里",3
"随着暴雨持续,为萨默塞特发出了几次洪水警报",1
重要提醒强对流天气要来可能出现雷暴大风、冰雹、龙卷,4
"2020年8月9日,星期日,土耳其西部海岸附近2.9级小地震",3
冷空气影响西北地区东部华北等地东部和南部海域有大风中新网,0
注意雨水大风降温,0
警惕风王海神已在路上大庆明后天将迎大雨大风天气,0
累计降雨量超过150毫米主城区投入1500余人次抢险排涝,1
"10年一遇超大风暴热带风暴芒果转强,澳大利亚或首当其冲",0
印度古吉拉特邦发生4.5级地震多地有震感,3
精准帮扶因洪涝灾害返贫的困难群众,1
四川贵州局地有大暴雨内蒙江苏等地有雷暴大风或冰雹融媒热头条新闻映象网,4
广西多地有降雨伴有雷暴大风,0
黄岛供电紧急抢修应对暴雨天气大众日报数字报,2
"墨尔本在高峰时段遭遇大冰雹,造成山洪威胁",4
湖北确认倾盆大雨假期卷土重来大雨暴雨将分布湖北如下,1
弥勒未来连续阴雨注意大风、冰雹...媒体澎湃新闻ThePaper,4
7级大风来袭河南这些地方有雨,0
长春遭遇罕见强雨雪大风冰冻天气,0
"好消息北方降雨来了,中雨大雨暴雨大暴雨,811号分布如下",2
我国中东部自北向南将大风降温,0
州长凯特布朗宣布俄勒冈州东部洪水进入紧急状态,1
库斯科奎姆河流域正在分崩离析居民警惕洪水,1
星期三有大雨和大风,0
我省28日又有降雨、降温、大风天气,0
史诗般的冰雹风暴扑灭了北加州熊熊燃烧的野火,4
日媒:日本九州暴雨死亡增至66人熊本县八成为溺亡,2
广西永福连续暴雨袭击启动洪涝灾害二级响应,1
2020年6月13日星期六印度尼西亚苏姆巴瓦地区3.0级小地震,3
广西将重大气象灾害(暴雨)III级应急响应提升为II级,2
黔南贵定县:村庄被洪水围困救援人员连夜奋战6小时转移43人,1
四川丹巴县山洪泥石流堰塞湖自然泄流水位大幅下降,1
"3.5级小地震2020年8月17日,星期一,菲律宾卡廷根(马斯巴特)(菲律宾)南29东008公里",3
"轻磁4.7级地震阿尔及利亚北部,2020年8月8日,星期六",3
"龙卷风挟冰雹突袭绥化致7人死亡98人受伤绥化,兰西县,海伦市中安在线主页管理",4
甘肃岷县遭遇暴雨冰雹强对流天气六乡镇受灾七人死亡,4
2.7级小地震2020年8月9日星期日(伊朗)塞姆南Shahmirzad16公里处,3
汛期气象科技应用系列报道④全程记录完美捕捉记长江中下游梅雨锋暴雨联合科学试验,2
升温↑降温↓还有大风降雨新疆的天气又有变化了,0
"晴朗、多风的天气,追随周日的风暴和大风",0
泰国坤敬府遭冰雹风暴袭击致100多栋民房受损,4
"南方暴雨倾盆,局部地区特大暴雨未来三天,6月2224号天气预报",2
"盘旋的洪水冲走了美联社的两人,17人获救",1
"断崖式降温今起,气温猛降10℃贵州多地暴雨、大暴雨,注意添衣媒体澎湃新闻ThePaper",2
"所有陕西人,暴雨、冰雹将至媒体澎湃新闻ThePaper",4
卡拉布拉吉暴雨造成518头牛死亡,2
山西平顺遭遇暴雨冰雹县城及部分乡镇发生内涝大河网,4
"未来6小时,哈尔滨市部分地区降冰雹",4
大风导致俄亥俄州中部山谷停电,0
"3.8级小地震尼加拉瓜,星期五,2020年8月7日,77公里alsuroestedeJiquillilo",3
"土耳其地震:地震摧毁了她的家,四天后,女孩被活活地从瓦砾中拉出来",3
"萨勒姆警察,消防队忙于应对大风问题",0
「扩散」晋城紧急发布雷暴大风、强降水、冰雹假期要泡汤,4
限行天气本周冷空气携大风、降温来,0
大风降温河南这些地方有雨,0
出乎意料的冰雹袭击了最不可能的州查看这些图片相信,4
雷暴、大风、短时强降水组团来袭郑州等河南7地区都有份儿媒体澎湃新闻ThePaper,0
安徽突发下列倾盆大雨大雨暴雨雷阵雨将分布安徽如下,2
"2020年8月8日星期六,55.21公里长的厄瓜多尔莫罗纳圣地亚哥,3.8级轻微地震",3
日本暴雨已致72人死亡安倍赴灾区为遇难者祈祷,2
西藏东部和南部有雨雪天气阿里和那曲大风天气明显,0
刚刚潍坊安丘突降冰雹现场图视频还有67级雷雨大风,4
"男子暴雨中触电倒地,广州番禺交警及时救助",2
全区今日有较强降雨南宁中到大雨并伴有大风,0
"中雨大雨暴雨大范围降雨来了,注意大风降温媒体澎湃新闻ThePaper",2
"中国洪灾恶化,逾万人被困",1
"视频:大风,雷雨天气预报",0
滨城遭遇暴风雨大海波涛汹涌,1
墨西哥南部发生7.5级地震,3
强降雨和冰雹风暴导致塞维利亚山洪暴发,4
"暴雨南宁多路段内涝堵车,兰海高速马山往都安方向发生山体落石,出行注意安全",2
皖南地区普降暴雨引发洪涝灾害荆楚网湖北日报网,1
低洼王国荷兰是如何与洪涝抗衡的,1
最新消息:蒙哥马利县紧急情况官员准备应对时速达50英里的大风,0
"快速移动,快速打击风暴传递闪电和冰雹,砍伐树木,切断电力",4
"3.8级小地震2020年8月2日,星期日,OAX(墨西哥)奥克斯佩德罗波丘特拉10公里处",3
今夜唐山雷阵雨继续还要小心冰雹......综合新闻唐山环渤海新闻网,4
"今日5县大暴雨,13县暴雨今夜部分乡镇还有大暴雨",2
"群众举报中铝兰州分公司粉尘污染,中铝:基本属实大风天造成大河报网",0
四川甘洛遭暴雨泥石流灾害民警全力开展抢险救援工作,2
"时速99英里的大风,猛烈的雷暴席卷爱荷华州中部超过12.4万爱荷华州没有电力供应。",0
"未来4天,阿坝州有持续强降雨局地可能出现冰雹",4
暴雨、山洪暴发和破坏性的大风将袭击多个州,0
"3.4级小地震2020年7月12日星期日,卡拉扬(卡加延)(菲律宾)西南67W040公里",3
山西平顺遭遇暴雨冰雹县城及部分乡镇发生内涝,4
"四川冕宁发生特大暴雨灾害,已造成3人死亡12人失联",2
新一波龙舟水周五起影响广东局地有大暴雨或特大暴雨雷雨时或伴有雷暴大风政务澎湃新闻ThePaper,2
暴雨雷暴大风双重套餐来袭河南未来三天成雨窝,0
造成12亿美元损失的卡尔加里冰雹列为加拿大第四大损失最严重的自然灾害,4
20日前后宁夏迎来大风降温天气暖气和冷空气谁先到,0
丹巴617山洪泥石流灾害:装机2000千瓦的梅龙电站被冲毁,1
"3.5级小地震2020年8月10日,星期一,加利福尼亚州(美国)孟买海滩SSE14公里处",3
"石家庄突降冰雹,你的车受伤后该怎么办长城原创长城网",4
"多条河流发生超警戒洪水,安徽启动防汛IV级应急响应",1
"雷阵雨中到大雨强对流天气多发,小心大风冰雹媒体澎湃新闻ThePaper",4
宜宾暴雨致部分道路积水有警员在执勤时受伤,2
江苏省再发暴雨警报,1
强降雨致河水暴涨六旬老人被困河中消防紧急救援,1
"2020年6月21日,星期日,波多黎各,加尼卡东南6公里处发生3.5级小地震",3
"6月底,平凉缘何连遇罕见冰雹、暴雨政务澎湃新闻ThePaper",4
泰国多地暴雨成灾巴育下令做好救援工作,2
"空军行动冰雹风暴2,摧毁恐怖分子的藏身处,中和博尔诺的战斗人员",4
市委书记王镇海深入红砂坝镇查看冰雹灾害情况并指导开展救灾工作,4
大庆市区北部、林甸、杜尔伯特北部等地居民注意未来2小时有雷雨大风、冰雹等强对流天气发生媒体澎湃新闻ThePaper,4
"暴雨持续,各地消防昼夜救援未来10天最关键政务澎湃新闻ThePaper",2
注意广西将迎强降雨、短时雷暴大风天气媒体澎湃新闻ThePaper,0
"2020年8月10日,星期一,哥伦比亚北部3.7级小地震",3
温彻斯特洪水:过去、现在和未来,1
广西钦州突降暴雨致村民被困消防紧急救援,2
"昨夜暴雨突袭井陉县城,今晨街头景象令人感动政务澎湃新闻ThePaper",2
暴雨来袭中国石化湘西分公司抗灾保供在行动,2
菲律宾南部地震在地震发生后3个小时内已有十多次有感余震发生,3
长江2020年第4号洪水过境重庆,1
"江西洪涝致682.1万人受灾,超37℃高温天马上杀到抗洪一线这些画面令人泪目媒体澎湃新闻ThePaper",1
"日本熊本县等地暴雨致70人死亡,安倍将视察灾区",2
突发平凉市部分县区遭冰雹侵袭最大宛如鸡蛋甘肃每日甘肃网,4
"未来9天,中雨大雨暴雨,持续不休息,6月715号,天气预报",2
日本熊本县持续暴雨已致5人死亡16人心肺停止,2
"雨一直下,局地雷暴大风全省转移人口2727人媒体澎湃新闻ThePaper",0
"直击日本暴雨:52人死亡,140万人被要求避难,15座桥被冲毁",2
"雷雨大风冰雹未来两天6月296月30号,全国天气预报",4
"刚刚,烟台又下冰雹了现场图视频来了",4
"强风暴系统进入费城后,大风警报生效",0
"墨西哥韦拉克鲁斯,暴雨造成3人死亡,1700栋建筑受损",2
大风暴在加利福尼亚海岸附近造成了创纪录的75英尺的海浪,0
湖南局地大暴雨5人失联8个乡镇20个村进水,2
"贵州桐梓县北部乡镇区域性强降雨,因山洪冲垮房屋致死3人",1
日本气象部门为假地震警报道歉,3
"暴雨袭城网友拍下的这一幕,朋友圈狂点赞上游新闻汇聚向上的力量",2
孟加拉国北部的山洪暴发增加了公众的痛苦,1
"2020年8月5日,星期三,印度尼西亚巴布亚岛北海岸附近发生4.6级轻地震",3
阿尔巴尼亚地震死亡人数增至40人,3
"强降雨造成广西超32万人受灾,暴雨来临如何安全避险",2
可能伴有雷暴、大风和冰雹凉山即将迎来持续性降水天气,4
"潍坊天气要变,雷雨78级大风此外,7月还有个奇怪的天气现象",0
水利部:淮河水系或出现明显洪水过程,1
暴雨袭击恩施部分小区被淹一货车被冲走,2
洪水、污染、蔓延和支离破碎的治理俄亥俄州东北部的水系统正以千滴之差的速度死亡,1
"济南发布暴雨预报今晚开始,连下三天山东多地有强降水媒体澎湃新闻ThePaper",2
广东69日将有大范围强降雨防汛Ⅳ级响应启动,1
"中央气象台:今后三天(6月1820日)全国天气预报,暴雨大到暴雨",2
"雷暴大风强降水,今天还要来",0
"明天,气温大跌绍兴局部有暴雨大风",0
联合国对中国、孟加拉国和尼泊尔洪灾表示关注,1
英国承诺为越南中部洪灾提供649000美元的援助,1
"强风暴给新英格兰部分地区带来破坏性的风和冰雹,引发罕见的山洪暴发",4
北京大风来袭阵风可达8级,0
柬埔寨全境连降暴雨引发严重洪灾,2
"2020年6月13日,星期六,3.1级小地震菲律宾大方省省长东62123公里",3
"暴风星期二:大风,暴雨,也许停电",0
三峡工程今年首次泄洪近期或迎新一轮洪水,1
"麦基诺大桥继续下雨,发出大风警报",0
大冰雹风暴推垃圾桶在街上有趣的视频,4
"周一的大风观测发布了几个爱达荷州,马尔黑尔县,俄勒冈州。",0
"3.2级轻微地震2020年8月1日星期六,大方索省长(达沃东方)(菲律宾)东经28东经122公里",3
四川省地震局专家:珙县5.4级地震属长宁6.0级地震的余震正常起伏活动,3
"轻磁4.0级地震2020年7月11日星期六,OAX(墨西哥)埃斯特德米阿瓦特兰23公里处",3
四川宜宾暴雨致2人死亡边坡垮塌夫妻二人被埋,2
我省28日又有降雨、降温、大风天气东北网民生东北网,0
"中央气象台:未来两天(6月2425号),多地暴雨如注、风狂雨骤",1
"2020年7月26日,周日,日本本州东海岸附近3.8级小地震",3
暴雨、冰雹突袭希腊旅游胜地居民睡梦中被惊醒中新网,4
日本政府认定7月份暴雨为特定紧急灾害,2
重庆12区县因暴雨冰雹灾死亡29人损失约4.2亿搜狐新闻,4
"2020年7月20日,星期一,堪察加半岛(俄罗斯)东海岸附近发生4.0级轻地震",3
印度阿萨姆邦洪灾造成160万人受灾至少34人死亡,1
"强风暴艾拉给芬兰带来了毁灭性的狂风和暴雨,超过9万户家庭断电",1
七下八上防汛关键期西安将出现5次大范围降雨过程,1
"六问近期南方强降雨为什么持续这么久,强度这么猛",1
大风吹倒了树木和电线洛根机场的机库受损,0
甘谷:联合多部门深入乡镇开展冰雹灾情普查,4
伊朗西部发生5级地震,3
"3.7级小地震2020年8月17日星期一,不列颠哥伦比亚省圣菲利佩84公里处发生小地震",3
"大雨局部暴雨、冰雹刚刚,东营发布重要天气预报",4
阿拉斯加安克雷奇5.1级地震,3
"阿富汗洪水造成数十人死亡,许多人仍然失踪",1
辽宁遭暴雨侵袭致城市内涝紧急转移逾12万人宜昌市工程建设培训学校,2
"3.6级小地震2020年8月5日星期三,格罗(墨西哥)阿尔塔米拉诺35公里处的alSUROESTEdeCDALTAMIRANO",3
本周天气暴雨、大风霸占了C位,0
宣威暴雨夜民警连夜敲门480余名群众无一人伤亡,2
注意降温暴雨大风又来捣乱了,0
新一轮降雨今夜登场周六局部有大暴雨上游新闻汇聚向上的力量,2
湖北房县:警民合力洪水中救起3名被困男子,1
埃及遭遇40年以来最极端天气强降雨致20人死亡,1
"阵风89级冰雹强雷暴,未来26小时我省多地将受雷雨大风天气影响",4
贵州、广西、吉林等地有大雨局地有雷暴大风,0
"暴雨雨雨雨雨降降降降降温接下来几天,贵州全是雨来看看你家要下到啥时候媒体澎湃新闻ThePaper",2
"发布335个洪水警报,风暴横扫英国,澳大利亚降雨控制了部分野火",1
6月1日晚暴雨泸州成全省降雨第一名今日开启连晴模式,2
大雪和恶劣天气向东移动的大风暴,0
大风低温霜冻济宁未来两天最低温降至1℃,0
"熊本暴雨,长时间的避难生活坏掉了的家里住的受灾者多数",2
陕西洪水将至防汛应急响应升为Ⅲ级,1
别忘关窗户12级大风雷暴冰雹来了媒体澎湃新闻ThePaper,4
"致命的风暴再次袭击南方:视频,照片显示龙卷风,冰雹的破坏",4
热带风暴伊萨亚斯给新英格兰带来暴雨和大风,0
"凯恩斯一代以来最糟糕的洪水,随着地区道路被切断,数十人获救",1
"房山蓝天救援队一天四起救援,狂风暴雨冰雹中来回奔波",4
本周山西雨雪大风相继出现,0
大风低温霜冻山东未来两天最低温降至1℃,0
"台风梅哈拉来袭福建,并伴有大风、暴雨",0
中雨、大雨、暴雨马上就到昆明720魔咒会不会重现官方回应了,2
爱琴海域地震已致土耳其83人死亡,3
"暴雨袭城,普惠社工为社区居民撑起安全伞",2
今起3天河北省迎大风降温天气最低气温下降6℃至8℃,0
塔吉克斯坦:洪水和泥石流2020年5月,1
"荷兰暴雨成灾,局部地区百年一遇,一女子死亡",2
"天津人注意了雷暴大风小冰雹,未来一周的天气将是...",4
丹尼斯马瑞克:十一月的大风来得早,0
"3.0级小地震2020年7月27日,星期一,阿拉斯加(美国)朱诺东56公里处",3
"权威释疑长江洪涝,太湖水位超警戒,上海安全吗防汛专家:目前安全可控政务澎湃新闻ThePaper",1
献县气象台9月28日发布大风警报,0
今起内蒙古气温偏低有霜冻大风相伴雨雪天,0
广东未来三天多雷雨局地有暴雨8级短时大风就要自媒体,0
飓风亚历克斯给英国部分地区带来暴雨和大风,0
"2020年6月24日,星期三,日本本州东海岸附近发生4.5级地震",3
庆阳:浓浓端午风又逢暴风雨,1
事发大连:窝棚被大风吹进水塘7旬老汉下水捞窝棚时溺水失踪,0
"北极风暴系统:在犹他州北部发布大风警报,阵风高达每小时75英里",0
"四川冕宁发生特大暴雨灾害3人死亡12人失联,极端天气应怎么做",2
"面对暴雨,城建人在行动",2
北京人寿六项措施应对南方洪涝灾害,1
"四川凉山冕宁山洪,消防出动车辆22台,营救被困群众141人",1
"2020年7月5日,星期日,波多黎各,瓜尼卡西南6公里处发生3.4级小地震",3
"四川冕宁特大暴雨已致16人遇难,网友:愿平安",2
受大风影响广东海域所有渔船12日中午前须回港避风,0
"广西这些地方将有大暴雨、雷暴大风,高温可能得到缓解",0
冰雹暴雨水浸天灾不断农民怨失收严重即时新闻两岸on.cc东网,4
"气象专家警告说,星期三有大风、大火危险",0
新强降雨将至中国泛滥危机近在眼前「一江三湖」居民苦不堪言民视新闻网,1
防洪度汛丨通渭供电积极应对强降雨天气,1
美国明尼苏达州严重冰雹造成农作物大面积损失。,4
平安上海暴雨滂沱水漫漫金盾闪耀显忠诚政务澎湃新闻ThePaper,2
从降雨量识读河流山洪灾害风险《中小河流洪水和山洪致灾阈值雨量等级》解读,1
"紧急通知明天凌晨开始,强降雨袭击万州或有大风、冰雹媒体澎湃新闻ThePaper",4
福建多地有暴雨局部大暴雨13日起高温天气回归,1
华北地区雷雨频繁广西东北部局地有大暴雨,1
贵州省气象灾害(暴雨)IV级应急响应调整为Ⅲ级,2
天气预报:大雨和大风,0
"周四周五,又一轮暴雨大雨中雨,卷土重来6月46号天气预报",1
环流天气系统将带来风暴、冰雹和撒哈拉沙尘,4
"注意本周四川盆地迎来今年最强降雨,暴雨大暴雨增多",2
云南暴雨洪涝一家7口被困消防队员紧张救援转移,1
大雨到暴雨又来了梅雨端午继续耍宝,2
紧急提醒910级大风或抵达安徽可能有龙卷风万家热线安徽门户网站,0
强降雨过境宜宾城区已有多处积水严重部分高速入口关闭,1
昨日南通各地突降暴雨最大小时雨强达全国第一,2
今天白天到夜间吉林多地降雨局地雷暴明起全省降雨,1
多段因暴雨管制高速路已经解除管制上游新闻汇聚向上的力量,2
保定800年古城墙因暴雨发生垮塌,2
湖北遭遇入汛以来暴雨范围最广降雨天气,2
暴雨使城市淹没用来救援居民的船只,2
"近期农作物遭遇冰雹容易倒伏,粮食受灾后如何自救",4
"都柏林今天天气:风暴亚历克斯带来大雨和大风,首都周末将被冲走",0
四川在线西昌响水沟暴雨引发泥石流308人提前转移成功避险,2
黔桂湘浙等地有大到暴雨局地有雷暴大风,0
"天气:大风,下午晚些时候可能会下冰雹",4
雷暴大风来袭气温暴跌近20℃本周江苏天气太刺激...政务澎湃新闻ThePaper,0
又来今晚大雨大风冰雹明日天气有变媒体澎湃新闻ThePaper,4
